NSAID,PGC,distance,r,i,z,I,K,vhelio,vhelio_err
161063,38423,40.2,13.1324,12.8563,12.6394,12.27,9.804,2723.79,112.5
142146,42929,26.1,12.3481,35.2197,11.9797,11.43,9.807,2445.7,157.5
131121,7849,21,12.2699,11.9367,11.7222,11.39,9.813,1991.53,205
66615,40030,29.4871,12.7817,12.4867,12.3029,12.21,9.814,2033.04,135
89308,49598,42.2589,12.612,12.2506,11.9822,12.17,9.826,2907.28,107.5
165750,53178,24.2668,13.0878,12.7301,12.4784,12.31,9.831,1674.57,117.5
99635,,31.5152,17.6984,17.8421,17.8033,,9.831,2172.3,157.5
159637,34711,30,13.2631,12.8255,12.4661,12.77,9.847,2578.09,145
121129,55501,27.2087,12.8635,12.5194,12.3002,,9.856,1876.59,125
161252,39034,38.3845,12.9826,12.5925,12.3961,12.24,9.863,2642.3,142.5
162547,43837,35.2,12.0721,11.822,11.5975,12.2,9.865,2837.67,142.5
163650,47598,43.0197,12.882,12.5039,12.242,12.39,9.866,2959.15,110
46967,26781,33.8779,13.2862,12.9887,12.7608,12.17,9.871,2333.96,147.5
147869,59971,22.866,13.2217,12.9145,12.6721,,9.875,1578.38,135
30832,39687,36.807,13.2545,12.9265,12.6909,12.22,9.875,2534.36,135
14409,44017,23.1,12.2077,11.8128,11.4954,12.53,9.881,2788.02,140
141200,39886,31.5,13.6494,13.1421,12.7274,12.56,9.883,2637.59,145
141152,39719,31.2832,12.9841,12.659,12.3933,12.44,9.884,2156.38,130
135852,26501,25,13.022,12.5897,12.2672,11.99,9.888,1747.46,130
145708,53402,38.2,14.0728,13.6908,13.4252,13.98,9.89,2439.53,120
169827,38168,35.6269,13.0235,12.6773,12.4377,12.36,9.895,2453.62,122.5
104439,46744,40.2,13.3725,13.0444,12.7944,12.21,9.897,2801.72,105
156022,136100,36.734,12.3673,11.9203,11.8457,,9.9,2529.37,225
76844,26498,21.9,12.9245,12.6592,12.3792,12.26,9.902,1870.44,165
135851,26498,21.9,12.9246,12.6668,12.4245,12.26,9.902,1869.34,165
155274,10942,42.1994,12.9474,12.6402,12.4081,11.86,9.907,2903.22,147.5
158784,32287,26.1,12.9084,12.5944,12.3781,12.16,9.909,1837.68,130
69351,55104,32.2,12.8925,12.508,12.2083,12.47,9.914,2602.11,142.5
161007,38238,36.9644,13.3576,12.9964,12.6778,,9.916,2545.13,125
67524,42427,29.9135,13.1563,12.8264,12.6478,12.32,9.918,2062.33,132.5
19349,40500,24,12.7873,12.4007,12.1485,12.4,9.92,1704.94,177.5
48827,1.3822e+06,37.2397,17.0872,17.0598,16.9194,16.75,9.925,2563.97,125
109227,30670,26.4,14.2352,13.7282,13.346,,9.929,1557.65,130
164896,51344,23.1,12.4789,12.2513,12.1111,11.99,9.935,1759.27,122.5
140038,36215,22.9021,13.1005,12.7859,12.548,11.83,9.943,1580.86,182.5
160627,36979,22.5,12.7174,12.4523,12.2186,12.51,9.944,1949.56,140
138144,32424,25.7,12.741,12.695,12.5864,,9.944,1887.34,127.5
150493,70287,44.2238,13.1326,12.912,12.7228,,9.949,3041.23,160
148419,90302,38.6945,13.0521,12.8331,12.7686,14.74,9.951,2663.5,165
136546,29327,44.1472,13.4067,13.0289,12.7356,,9.955,3036.01,117.5
20725,58115,36,13.1556,12.9118,12.714,12.13,9.962,2430.82,122.5
143986,49275,32.7112,13.2299,12.8722,12.6272,12.37,9.963,2254.14,120
69128,52307,38.9,13.9123,13.5021,13.1833,12.34,9.963,2332.14,120
164654,50728,30.5,13.1185,12.8051,12.5026,12.11,9.964,2096.6,117.5
1578,42847,36.5,12.7948,12.5005,12.3613,12.24,9.964,2668.56,142.5
162048,41838,24.7,12.0295,11.7718,11.6055,12.2,9.967,2855.56,112.5
151965,71784,29.5143,13.3186,12.9394,12.6388,12,9.97,2034.91,145
164201,49464,30.9,13.1264,12.8189,12.6257,12.17,9.979,2185.91,117.5
166280,55482,25.5,13.2887,13.1063,12.8865,,9.981,1933.08,132.5
